,Medicine,Unit,UK.unit.price,SA.unit.price,India.unit.price,generic.price,hand.flag.keep,
1,acetylcysteine,2000 mg ampoule,1.36,1.57,2,NA,n,
2,aciclovir,powder for injection 250 mg,1.24,2.1,0.23,0.63448,n,
3,amikacin,powder for injection 1000 mg,23.83,0.55,0.27,NA,y,
4,amikacin,powder for injection 100 mg,2.38,0.33,0.05,NA,y,
5,amikacin,powder for injection 500 mg,11.92,0.28,0.14,NA,y,
6,amiodarone,ampoule 150 mg/3mL,1.95,2.87,0.24,0.26893,n,
7,amphotericin B,powder for injection 50 mg,5.04,1.02,NA,0.72872,n,
8,ampicillin,powder for injection 1000 mg,20.36,1.21,0.13,0.64415,y,
9,ampicillin,powder for injection 500 mg,10.18,0.61,0.06,0.62457,y,
10,artemether,ampoule 80 mg/1mL,NA,0.4,NA,0.2712,n,
11,,artesunate ampoule 60 mg &,NA,NA,NA,NA,n,
12,,5 % sodium bicarbonate,NA,NA,NA,NA,n,
13,artesunate,ampoule,NA,NA,NA,NA,n,
14,,powder for injection,NA,NA,NA,NA,n,
15,asparaginase,"10 ,000iU",796.9,11.57,NA,NA,n,
16,atracurium,1 mL injection 10mg,0.86,0,NA,0.73339,n,
17,atropine,1 mL ampoule 1mg,8.25,0.13,0.01,0.24464,n,
18,azathioprine,powder for injection 100 mg,39.99,NA,NA,0.66124,n,
19,bendamustine,2 mL injection 180mg,NA,185.14,NA,15.04928,n,
20,bendamustine,0 .5mL injection 45mg,NA,46.29,NA,4.21607,n,
21,benzylpenicillin,5 mL vial 1.44g,NA,0.23,NA,NA,n,
22,benzylpenicillin,5 mL vial 900mg,NA,0.17,NA,NA,n,
23,benzylpenicillin,powder for injection 3 g,15.18,0.49,NA,NA,n,
24,benzylpenicillin,powder for injection 600 mg,3.04,0.1,NA,NA,n,
25,bevacizumab,1 mL injection 25mg,78.86,63.57,NA,NA,n,
26,biperiden,1 ml ampoule 5mg,NA,NA,NA,NA,n,
27,bleomycin,powder for injection 15 mg,24.78,4.6,NA,NA,n,
28,bupivacaine,1 mL injection 2.5mg,0.11,0.02,NA,0.60568,n,
29,,"4 mL ampoule 20mg, with",NA,NA,NA,NA,n,
30,bupivacaine,glucose,NA,0.21,0.23,0.24747,n,
31,bupivacaine,1 mL injection 5mg,0.09,0.02,0.01,0.60637,n,
32,caffeine citrate,1 mL injection 20mg,5.7,NA,NA,0.6054,n,
33,calcium folinate,10 mL ampoule 30mg,6.01,1.87,NA,NA,n,
34,gluconate,10 mL ampoule 1000mg,0.65,0.36,0.11,0.25672,n,
35,capreomycin,powder for injection 1000 mg,37.19,7.16,3.93,NA,n,
36,carboplatin,60 mL injection 600mg,32.83,45.76,22.8,23.54631,n,
37,carboplatin,15 mL injection 150mg,9.91,11.44,5.7,6.34033,n,
38,carboplatin,5 mL injection 50mg,4.64,3.81,1.76,2.51678,n,
39,cefazolin,powder for injection 1000 mg,NA,0.53,0.26,0.80714,y,
40,cefotaxime,powder for injection 250 mg,1.31,0.15,0.06,0.64139,y,
41,ceftazidime,powder for injection 1000 mg,0.99,1.77,0.36,1.17863,y,
42,ceftazidime,powder for injection 250 mg,1.77,0.44,0.36,0.74841,y,
43,ceftriaxone,powder for injection 1000 mg,0.64,0.44,0.15,0.85836,y,
44,ceftriaxone,powder for injection 250 mg,1.43,0.27,0.08,0.66834,y,
45,chloramphenicol,2 mL ampoule 1000mg,NA,NA,0.14,0.4537,y,
46,chloramphenicol,powder for injection 1000 mg,1.81,NA,0.14,0.8167,y,
47,chlorpromazine,2 mL ampoule 50mg,0.92,NA,0.03,0.24772,n,
48,chlorpromazine,2 mL ampoule 50mg,0.92,NA,0.03,0.24772,n,
49,ciclosporin,1 mL ampoule 50mg,3.02,1.72,1.71,0.33212,n,
50,,1 mL solution for infusion,NA,NA,NA,NA,n,
51,ciprofloxacin,2 mg,0.01,NA,0,0.60568,y,
52,cisplatin,100 mL injection 100mg,13.73,8.84,5.14,5.77765,n,
53,cisplatin,50 mL injection 50mg,9.09,4.42,2.57,3.19133,n,
54,clindamycin,1 mL injection 150mg,0.37,NA,1.21,NA,y,
55,cloxacillin,powder for injection 500 mg,NA,0.89,0.12,0.62188,y,
56,cyclizine,1 mL injection 50mg,2.11,NA,NA,0.61057,n,
57,de,powder for injection 500 mg,11.53,5.04,0.5,1.6449,n,
58,cytarabine,powder for injection 100 mg,3.99,1.8,0.05,0.78257,n,
59,dacarbazine,powder for injection 100 mg,5.42,NA,1.01,1.05652,n,
60,dactinomycin,powder for injection 500 mcg,NA,NA,5.87,NA,y,
61,daunorubicin,powder for injeciton 50 mg,211.25,10.03,2.78,2.87655,n,
62,deferoxamine,injection 500 mg,5.19,0.47,2.12,NA,n,
63,deferoxamine,powder for injection 500 mg,5.19,0.47,2.12,NA,n,
64,desmopressin,1 mL ampoule 4mcg,1.46,NA,NA,0.24349,n,
65,dexamethasone,1 mL ampoule 4mg,NA,0.21,0.02,0.25252,n,
66,dexamethasone,1 mL ampoule 4mg,NA,0.21,0.02,0.25252,n,
67,dexamethasone,1 mL ampoule 4mg,NA,0.21,0.02,0.25252,n,
68,dexamethasone,1 mL ampoule 4mg,NA,0.21,0.02,0.25252,n,
69,dexamethasone,1 mL ampoule 4mg,NA,0.21,0.02,0.25252,n,
70,diazepam,1 mL injection 5mg,0.25,0.06,0.02,0.60587,n,
71,digoxin,2 mL ampoule 500mcg,0.6,2.44,0.06,0.24671,n,
72,dimercaprol,2 mL ampoule 100mg,NA,NA,1.5,NA,n,
73,docetaxel,injection 20 mg,3.3,21.7,1.45,4.2134,n,
74,docetaxel,injection 40 mg,NA,34.29,2.9,7.8218,n,
75,dopamine,5 mL vial 200mg,0.68,0.26,0.09,0.67858,n,
76,doxorubicin,powder for injection 10 mg,1.99,1.7,0.5,1.20727,n,
77,doxorubicin,powder for injection 50 mg,5.25,5.06,1.13,3.61635,n,
78,eflornithine,100 mL injection 20g,NA,NA,NA,37.6599,n,
79,ephedrine,1 mL ampoule 30mg,0.52,NA,0.1,0.24445,n,
80,(adrenaline),10 mL ampoule 1mg,6.97,NA,NA,0.26699,n,
81,(adrenaline),1 mL ampoule 1mg,0.2,NA,0.03,0.26699,n,
82,(adrenaline),1 mL ampoule 1mg,0.2,NA,0.03,0.26699,n,
83,ergometrine,1 ml ampoule 0.2mg,NA,NA,0.03,NA,n,
84,erythromycin,powder for injection 500 mg,11.12,NA,NA,NA,y,
85,erone acetate,injection 5 mg + 25mg,NA,NA,NA,NA,n,
86,etoposide,5 mL ampoule 100mg,3.47,3.66,0.97,1.36841,n,
87,filgrastim,1 .6mL vial 480mcg,NA,NA,NA,0.61022,n,
88,filgrastim,1 mL vial 300mcg,68.52,28.15,15.71,0.60826,n,
89,fluconazole,1 mL vial 2mg,0.01,NA,0,0.60538,y,
90,flucytosine,250 mL infusion 2.5g,39.43,NA,NA,5.18712,n,
91,fludarabine,vial 50 mg,30.46,42.03,20.5,NA,n,
92,fluorouracil,5 mL ampoule 250mg,0.6,NA,0.1,NA,n,
93,fluphenazine,1 mL ampoule 25mg,2.78,2.3,0.34,0.3216,n,
94,fomepizole,1 .5mL ampoule 1500mg,NA,NA,NA,36.08368,n,
95,furosemide,2 mL ampoule 20mg,0.12,0.07,0.02,0.243,n,
96,furosemide,2 mL ampoule 20mg,0.12,0.07,0.02,0.243,n,
